sentiment,text
5,"RT @tomlindberg99 'Congrats to @Apple, Mary Sotos @WorldResources for Green Power Leadership Awards @GreeneMarktplc '
http://t.co/qjX66tc2sV"
3,Pop up #BostonHoliday - #UrbanNutcracker's @RussellFerg &amp; #krumpers are @Apple Store in Boylston St. @5:30pm today. Dancing &amp; chat'
3,"New 4-inch iPhone 6 Reported. 5 Reasons Apple Must Make It  $AAPL #aapl
http://t.co/jmpX51PCgL"
1,@Apple GBP200 repair an #iPhone5 that died 4 mths out of warranty. The new phone comes with only 90 days warranty. Why?!?! #unhappycustomer
3,Foreign Currency Exchange May Be A Headwind For #Apple #AAPL http://t.co/HH6LjnOq0x
1,Mark #Zuckerberg Slams Tim #Cook: You Don't Care About Your Customers #fb #aapl http://t.co/HWDmpRoIgT http://t.co/58j6KPMIlI
5,@AppleOfficialll @apple I can't say enough about how awesome Apple has been. They've already processed a reorder for the phone that UPS lost
3,"@SamsungMobileUS #Samsung #appeals $930m fine in @Apple [#Apple] #iPhone copying case. (#Friday, 5 #December) http://t.co/cIC9VRqWUJ"
3,BLOCK TRADE detected in #AAPL
3,Is Apple Inc. Losing the $5 Billion Ed-Tech Market? http://t.co/uc6KDLEFLM #AAPL
3,Any one know how to retrieve deleted texts from iPhone.  #Apple @apple #textmessage
3,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/liaSWssxRd"
3,#AAPL:Apple Is Building A $161 Million Theatre...http://t.co/iY5XtGtlGp
1,Mark #Zuckerberg Slams Tim #Cook: You're Not In Alignment With Your Customers #fb #aapl http://t.co/HWDmpRoIgT http://t.co/YUIelx9q2J
3,Apple Begins Hiring for First Belgian Retail Store in Brussels [Mac Blog] http://t.co/pHYBAifp4x #AAPL
3,Apple Launches Ten Holiday-Themed iTunes Radio Stations [iOS Blog] http://t.co/fF0JIspy7s #AAPL
1,@Apple 'deleted #iPod #music from rival services' http://t.co/a9VO9E0g5F
3,"Apple Throws Last-Minute Curve Ball In Lawsuit $AAPL #aapl
http://t.co/ik7fTfkjNF"
3,3 Reasons #Apple Is a Potential Warren Buffett Stock and 1 Reason It Isn't | The Motley Fool #aapl http://t.co/BnSCg3I2yo
3,Is #Apple Inc. Losing the $5 Billion Ed-Tech Market? | The Motley Fool #aapl http://t.co/bIz7kKXY2t
3,"APPLE Intraday Comments - Updated RANGE - PREMIUM USERS  #aapl #Stockaction #trading #Stocks #MKt
http://t.co/G0TeDLCB9z"
3,Attn @Apple :  Buy these guys &amp; make #AppleTV what it should be. 'Fan TV' Heads for the exit   http://t.co/mCPfhvKilJ via @pkafka
5,@apple Excellent customer service thanks Ian #applestorecoventgarden
3,"Here are some of the satellites @SPUTNIK-1, @explorer-1, @ariel-3, @sanmarco-1, @bhaskara-1, @aryabhatta, @apple, @INSAT-1A."
1,"@Apple, why I cannot alt+tab back to full screen app!? GRRRR! #usability"
3,@Apple to Host Free #Coding Workshops in Stores http://t.co/jqAciR5UrY
3,#Apple begins hiring retail positions in Brussels ahead of first #Belgium ... - http://t.co/Rc1mvDT3Dv #AAPL http://t.co/GjjDMt4c2B
3,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/fmEc0yZmFE"
3,"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET"
3,"@apple awards @RegisCollege_MA with Distinguished School honor.  http://t.co/Ios9RVIt8P
#iPads"
1,@apple why the fuck when I leave my charger at home do I gotta start sending my goodbye texts at 10:09am?
3,"Hey @apple while your reading list on safari across device rocks, can you please let list items to be deleted (x) in iPhone"
5,How Apple Became One of the Greenest Companies in America http://t.co/eM2TLoctXd @apple @Newsweek #energy #efficiency
3,@HANNAHRAD Why doesn't @apple give out free apples as snacks?
3,Foreign Currency Exchange May Be A Headwind For Apple (AAPL) http://t.co/mNNF9H55Wd #AAPL
3,"@KymLang and Q's, #AAPL"
3,"Is Apple Inc. Losing the $5 Billion Ed-Tech Market? $AAPL #aapl
http://t.co/lOLDOTy7jt"
1,RT @FaZeNikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
1,@Facebook founder attacks @Apple boss over 'ridiculous' comments http://t.co/pverWexJv8
3,"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET"
1,"Dear @Apple, I place all my browser eggs in the #Safari basket. Guess what? Safari is broken, please fix the release you pulled. #FAIL"
3,"JMP Securities Thinks Apple, Inc. Is Going to $150: Time to Sell? http://t.co/eFtBViu35Y #AAPL"
1,"Foxconn Robots Proving Unsuitable for iPhone Assembly, Updated Versions in the Works http://t.co/jSmVSN6v8r #AAPL"
3,Anti-Discrimination Bill To Be Named After @Apple CEO @TimCook http://t.co/qEZlIPc8Z2 via @theinquisitr @LGBT #LGBT #Gayrights #Alabama
3,"Apple: $115 fits to 8.4% increase in earnings. Use 2014Q3 EPS=$1.42 in  #free IOS App Donkey Stocks. #AAPL
https://t.co/8CBUgrEHZS"
5,"The king of the phablets! Apple's iPhone 6 plus is bestseller for past three months - $AAPL #aapl
http://t.co/VNp8xeBow6"
1,What is the point of making an apt at @apple Genius Bar when you sit and wait for 40 min and counting?!
3,New 4-inch #iPhone6 Reported: 5 Reasons @apple Must Make it http://t.co/WdiezLNdCM #choice #device #smartphone #budget
3,Will @apple be growing its services areas?  @barclayswealth thinks it...
3,Hold on @TGowdySC word up now Tweet me r u gunna..Vowel that Flu shot ? Bc or ad? me linda RN let the ncis begin! narcwars @apple sauce thic
3,"JMP Securities Thinks #Apple, Inc. Is Going to $150: Time to Sell? | The Motley Fool #aapl http://t.co/LpjS6iyh0I"
3,How to save a ton of money when you buy your next #iPhone via @BGR #aapl http://t.co/x35kXHBv0E
3,$AAPL $BIDU $NTES and more are on our stocks to buy list #AAPL #BIDU #NTES http://t.co/cqEje2PffW
3,Resisting a Bite of the #Holiday @Apple - http://t.co/NZDodzQ5WE http://t.co/7AKxZYBr7l
1,RT @ajhontucan: Your telling me there's no Santa Claus emoji? @Apple
3,"Apple: $115 fits to 8.4% increase in earnings. Use 2014Q3 EPS=$1.42 in  #free IOS App Donkey Stocks. #AAPL
https://t.co/pyU6cuTYrX"
3,@Apple are you doing 12 Days of Gifts again?
3,#Apple: Market Maker Price Range Forecast Update #AAPL http://t.co/lb0gspNI9j
3,@THE_HIIT_COACH @weightsmate @Apple it's similar to an existing app (called cardio guru interestingly). Maybe Apple have noticed this?
1,@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame
3,"Crystal Baller: Rebirth of the 4-inch iPhone and other insane Apple rumors $AAPL #aapl
http://t.co/yvpAZQUmNt"
3,#AAPL:New 4-inch iPhone 6 Reported. 5 Reasons Apple Must Make It...http://t.co/qNtQdIYTXK
3,"RT @JPDesloges: Crystal Baller: Rebirth of the 4-inch iPhone and other insane Apple rumors $AAPL #aapl
http://t.co/yvpAZQUmNt"
5,"Watching #Orion #eft1 reenter at 20,000mph on my @apple #iPhone as I am driving 80mph through the middle of no &amp; where Texas. #howcoolisthat"
3,Interesting job wth @Apple in crowdsourcing! (tip via @cageyjames on LI) Maps Community Client Software Engineer http://t.co/EUMr959uMl
1,@Swansonbirds @Apple @Appy_Geek it's definitely a bit frustrating as a consumer. I'm a big @apple supporter
3,@Swansonbirds @Apple @Appy_Geek Just saw this one on @YahooNews http://t.co/lkVkJ2Kkrp
3,#AAPL:Outside the Box: How things changed this week: good jobs and bad Jobs...http://t.co/zS3k9SorkL
3,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/DcAToedfMd"
3,Help @Apple. Store rep told me that iTunes backup saves multiple backups. But I backed up phone now and old backup is gone. What to do?
3,@HRHound @MandoGallegos Nice! If the actor had on an iWatch he'd have the entire suite of @Apple products. #sponsorDeal
1,Why I Hate #Apple. #aapl  http://t.co/inkCjYw0Lq
1,My @apple power cord caught on fire!   Yet another non-travelling power cord I have less than a year.  #AppleCordFire http://t.co/exC3Wz8CiD
1,What I find alarming about @Apple power cords is how quickly they fray.  I don't always notice when I don't travel with them. #AppleCordFire
1,"And if I leave my Mac plugged in when I leave the house, do I need to check the @Apple power cord every time?  #AppleCordFire"
1,And how about kids?  Do parents need to monitor the @Apple power cords daily to make sure they are still safe?  #AppleCordFire
1,"I was out to dinner last night and left my computer to charge.  Had the fire happened then, I'd have no house.  @Apple #AppleCordFire"
3,How hip is @TWDanceCenter @Apple Store in Boylston St. Today @ 6.30pm. Enjoy some #krumping meet #UrbanNutcracker director &amp; @RussellFerg
3,"UBS Says Consensus on December Quarter Apple  iPhone Units Could be 10% Low $AAPL #aapl
http://t.co/wao7GqQ411"
3,. @stevewoz: passion for engineering/design at the heart of what he did for @apple. http://t.co/dL7l2Us27T via @BloombergTV
3,In the market to create more videos with my students @Apple #Macbook http://t.co/bAn4z2BPRQ via @donorschoose
3,BloombergTV:  Steve #Wozniak on What Really Happened in #Jobs' Garage http://t.co/M5Pl6xLjuV via @BloombergTV #Apple #aapl
3,@Apple @DonorsChoose @BestBuy Help me reach my goal.
5,@APSVirginia special education staff working hard on behalf of our students with disabilities @Apple ed1426 http://t.co/1HhSr2Vyoh
1,"Dear @Apple all I want for Xmas is for iOS 8 to stop crashing my iPad.  Signed, Cindy Lou Who of Whoville #apple"
3,"@Apple was fighting a 'never ending battle' against hackers of #iTunes, says chief Eddy Cue in #antitrust trial http://t.co/OlmqSV8R0H"
3,"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET"
3,TD Bank Aiming to Launch Apple Pay Support in Mid-December [iOS Blog] http://t.co/J28qRk4sNf #AAPL
1,Hey @Apple how can I take U2's album off my phone?
3,"Barclays raises Apple price target by 17% to $140, more here: http://t.co/tAH62mAbox     #AAPL #Barclays #Stocks"
3,"JMP raises Apple price target from $130 to $150, reasons why here: http://t.co/XOTExD9Y4o  #JMP #AAPL #Stocks #WallStreet"
3,"Apple to Support a New Franchise of 500 iOS Stores in India $AAPL #aapl
http://t.co/390LCAqyfT"
3,"RT @JPDesloges: Apple to Support a New Franchise of 500 iOS Stores in India $AAPL #aapl
http://t.co/390LCAqyfT"
3,Hey @panerabread how about you teach your people how to use @apple pay?
1,Apple Inc. Deleted Songs From Rival Services From iPods http://t.co/dQwDFpcc4x #AAPL
3,#AAPL:Google (GOOGL) Stock Downgraded Today at Bank of America/Merrill Lynch...http://t.co/5NbKdg8jk2
5,So cool! @Apple stores will host free 'Hour of Code' workshops on Dec. 11 to promote computer science: http://t.co/HrOHssVtK1 #tech
3,"Why Apple Needs China to Love the Apple Watch  $AAPL #aapl
http://t.co/Jxo4stP9b7"
3,"42% believe #iPhone6 won't be available this Christmas, survey says http://t.co/ARjdahF9bm via @CNET #aapl"
5,9 awesome paid #iPhone apps that are free for a limited time (save over $100!) https://t.co/dUYoNxO2dA via @BGR #aapl
3,@mattnwells I just wish I could post my #fav #coolclimate #Merlots on @delectable using my @apple flip phone
3,#AAPL:31 Traits All Great Leaders Share...http://t.co/Ym4CLblrcF
1,@apple the fact these itunes updates makes it anal to reset play counts sometimes yall do the mosttttt
3,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/Ms60cRXiHj"
3,"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET"
3,.@Apple CEO's name to grace Alabama antidiscrimination bill |@SDGLN @KenSanDiego @Benny_C @jimwinsor @mistercervantes http://t.co/bVYl4mHyNC
3,@fundulz @Apple yeah I mean @IE is super great
3,.@Apple CEO's name to grace Alabama antidiscrimination bill |@SDGLN @KenSanDiego @Benny_C @jimwinsor @mistercervantes http://t.co/UdeeIZanLA
3,RT @spencerescott: Have Apple's iPad Sales Peaked? #AAPL http://t.co/zDUTviV8ys
3,"RT @spencerescott: #AAPL Market Cap Passes $700 Billion, Tablet Sales Slump and More  http://t.co/gWDMiYag9o"
3,"For this problem, we can blame anybody we like: @sun, @java, @oracle, @apple, @startcom! Who else joins the roster?"
3,RT @spencerescott: Apple Flash Crash: What You Need to Know #AAPL http://t.co/2PBThSFeEE
3,"RT @JPDesloges: APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/Ms60cRXiHj"
3,"@Apple [#Apple]'s #IPhone6Plus captures Christmas at the #White House. (#Friday, 5 #December) http://t.co/4EXisKMcMV"
3,hey @apple could you add an option in mail to 'unsubscribe' next to the delete/archive option after swiping an email?
1,Why is it so hard to reach / buy Suicide Squad comics at apple store in Turkey? @apple @DCComics @AppleTurkey
